fold_id,feature,coefficient
20,rmt_to_sample_condition_ratio,0.04676101707316225
20,trailing_realized_volatility,0.0718143343964471
20,__intercept__,0.0649635314662035
21,sample_avg_pairwise_correlation,-0.011161713743278746
21,sample_condition_number,0.009794612096057758
21,ledoit_wolf_condition_number,-0.0111165540255743
21,rmt_condition_number,-0.02917682619101972
21,ledoit_wolf_to_sample_condition_ratio,-0.021369111408890626
21,rmt_to_sample_condition_ratio,0.04545383509196211
21,trailing_realized_volatility,0.07128357690644477
21,__intercept__,0.0631270564446014
22,sample_avg_pairwise_correlation,-0.011244942640609303
22,sample_condition_number,0.012736993297790924
22,ledoit_wolf_condition_number,-0.013080548693227239
22,rmt_condition_number,-0.028741484160966432
22,ledoit_wolf_to_sample_condition_ratio,-0.019458512209134405
22,rmt_to_sample_condition_ratio,0.04493298497721547
22,trailing_realized_volatility,0.07153065817172244
22,__intercept__,0.06148226860299836
23,sample_avg_pairwise_correlation,-0.009295958549335417
23,sample_condition_number,0.022879146094848563
23,ledoit_wolf_condition_number,-0.021812097256796857
23,rmt_condition_number,-0.02643159883743498
23,ledoit_wolf_to_sample_condition_ratio,-0.011917489734083884
23,rmt_to_sample_condition_ratio,0.04261645605857667
23,trailing_realized_volatility,0.07247139081357663
23,__intercept__,0.060043538008212764
24,sample_avg_pairwise_correlation,-0.007731293038640544
24,sample_condition_number,0.029529969631207343
24,ledoit_wolf_condition_number,-0.02856313344179545
24,rmt_condition_number,-0.024595567127538544
24,ledoit_wolf_to_sample_condition_ratio,-0.00578594772921626
24,rmt_to_sample_condition_ratio,0.03966807001954821
24,trailing_realized_volatility,0.07338832267854181
24,__intercept__,0.058568206017736386
25,sample_avg_pairwise_correlation,-0.007409662361281464
25,sample_condition_number,0.029945018871739316
25,ledoit_wolf_condition_number,-0.0287622708252948
25,rmt_condition_number,-0.024526345504877027
25,ledoit_wolf_to_sample_condition_ratio,-0.005409053288086373
25,rmt_to_sample_condition_ratio,0.03952745063110975
25,trailing_realized_volatility,0.07327211160286994
25,__intercept__,0.0572043504786841
26,sample_avg_pairwise_correlation,-0.007717637674878872
26,sample_condition_number,0.028083989377391337
26,ledoit_wolf_condition_number,-0.027388868525658375
26,rmt_condition_number,-0.02362359111537812
26,ledoit_wolf_to_sample_condition_ratio,-0.0057520325908509435
26,rmt_to_sample_condition_ratio,0.038280685374655135
26,trailing_realized_volatility,0.0724553205486407
26,__intercept__,0.056006066730404626
27,sample_avg_pairwise_correlation,-0.007759153351259974
27,sample_condition_number,0.027554713372306222
27,ledoit_wolf_condition_number,-0.02705654469965362
27,rmt_condition_number,-0.0230992554893217
27,ledoit_wolf_to_sample_condition_ratio,-0.005549109112806231
27,rmt_to_sample_condition_ratio,0.0372689560434701
27,trailing_realized_volatility,0.07172168621553475
27,__intercept__,0.05485973041122439
28,sample_avg_pairwise_correlation,-0.008763107374334188
28,sample_condition_number,0.031797887872002946
28,ledoit_wolf_condition_number,-0.03576227032270463
28,rmt_condition_number,-0.018473547378376563
28,ledoit_wolf_to_sample_condition_ratio,0.0040449348193665495
28,rmt_to_sample_condition_ratio,0.02792074440698795
28,trailing_realized_volatility,0.07098511981425099
28,__intercept__,0.05537098810600845
29,sample_avg_pairwise_correlation,-0.012719487801512924
29,sample_condition_number,-0.011975030830018241
29,ledoit_wolf_condition_number,0.0026191883466814983
29,rmt_condition_number,-0.01797673606279942
29,ledoit_wolf_to_sample_condition_ratio,-0.01494410955937388
29,rmt_to_sample_condition_ratio,0.025757843213415357
29,trailing_realized_volatility,0.06669547001590592
29,__intercept__,0.055158028787640596
30,sample_avg_pairwise_correlation,-0.012084223841795366
30,sample_condition_number,-0.006461784865669196
30,ledoit_wolf_condition_number,-0.0011916028729916214
30,rmt_condition_number,-0.018117594092051575
30,ledoit_wolf_to_sample_condition_ratio,-0.012939055181822404
30,rmt_to_sample_condition_ratio,0.02717958336047712
30,trailing_realized_volatility,0.06546613845039499
30,__intercept__,0.05502055730001429
31,sample_avg_pairwise_correlation,-0.01204164389470867
31,sample_condition_number,-0.006297219149322141
31,ledoit_wolf_condition_number,-0.0014476495684645708
31,rmt_condition_number,-0.017794153219582567
31,ledoit_wolf_to_sample_condition_ratio,-0.012824793530248872
31,rmt_to_sample_condition_ratio,0.026991603979712137
31,trailing_realized_volatility,0.06469969072587012
31,__intercept__,0.05486124553705057
32,sample_avg_pairwise_correlation,-0.012356562395272958
32,sample_condition_number,-0.007189025204504904
32,ledoit_wolf_condition_number,-0.0003067342106029666
32,rmt_condition_number,-0.01753332165555445
32,ledoit_wolf_to_sample_condition_ratio,-0.013151077752121364
32,rmt_to_sample_condition_ratio,0.026639337608265614
32,trailing_realized_volatility,0.0637467802244554
32,__intercept__,0.0546852634741995
33,sample_avg_pairwise_correlation,-0.012146884688458412
33,sample_condition_number,-0.006669656735580093
33,ledoit_wolf_condition_number,-0.0006384818609828743
33,rmt_condition_number,-0.017578016105044343
33,ledoit_wolf_to_sample_condition_ratio,-0.012929360636734017
33,rmt_to_sample_condition_ratio,0.026993901940405296
33,trailing_realized_volatility,0.06306689348136767
33,__intercept__,0.053802092711724085
34,sample_avg_pairwise_correlation,-0.00980337703864481
34,sample_condition_number,0.00046368609050522874
34,ledoit_wolf_condition_number,-0.0021418835078548643
34,rmt_condition_number,-0.019008197384285424
34,ledoit_wolf_to_sample_condition_ratio,-0.011512735512305465
34,rmt_to_sample_condition_ratio,0.03158324247421665
34,trailing_realized_volatility,0.061422420543494075
34,__intercept__,0.05275776074141274
35,sample_avg_pairwise_correlation,-0.008312734078628538
35,sample_condition_number,0.0035441527854149593
35,ledoit_wolf_condition_number,-0.004422874692694141
35,rmt_condition_number,-0.018126770069743423
35,ledoit_wolf_to_sample_condition_ratio,-0.010683852500713187
35,rmt_to_sample_condition_ratio,0.0318321603470972
35,trailing_realized_volatility,0.060693506949470656
35,__intercept__,0.05181948715618176
36,sample_avg_pairwise_correlation,-0.00806703662278533
36,sample_condition_number,0.004643512501261906
36,ledoit_wolf_condition_number,-0.004908034771429153
36,rmt_condition_number,-0.018010623007671686
36,ledoit_wolf_to_sample_condition_ratio,-0.009730348937672401
36,rmt_to_sample_condition_ratio,0.031696377597745046
36,trailing_realized_volatility,0.06053615185307644
36,__intercept__,0.05095445819770168
37,sample_avg_pairwise_correlation,-0.007832537889883237
37,sample_condition_number,0.005591305028455948
37,ledoit_wolf_condition_number,-0.005233185730899519
37,rmt_condition_number,-0.017923422808595824
37,ledoit_wolf_to_sample_condition_ratio,-0.009015126282634137
37,rmt_to_sample_condition_ratio,0.031718172688240245
37,trailing_realized_volatility,0.06027531361755019
37,__intercept__,0.050105289938607585
38,sample_avg_pairwise_correlation,-0.00787033069907662
38,sample_condition_number,0.005167905918716008
38,ledoit_wolf_condition_number,-0.005116844938560042
38,rmt_condition_number,-0.01767478491828386
38,ledoit_wolf_to_sample_condition_ratio,-0.009140985114224884
38,rmt_to_sample_condition_ratio,0.03116493116064905
38,trailing_realized_volatility,0.059909596055915906
38,__intercept__,0.04938163967734134
39,sample_avg_pairwise_correlation,-0.007918273674753907
39,sample_condition_number,0.004906347162853382
39,ledoit_wolf_condition_number,-0.005015694740014976
39,rmt_condition_number,-0.01742437762775045
39,ledoit_wolf_to_sample_condition_ratio,-0.009132843139526692
39,rmt_to_sample_condition_ratio,0.030724638394183462
39,trailing_realized_volatility,0.059444170343970114
39,__intercept__,0.04873189805704642
40,sample_avg_pairwise_correlation,-0.007522809358011325
40,sample_condition_number,0.005711596855125716
40,ledoit_wolf_condition_number,-0.0051745529797979474
40,rmt_condition_number,-0.017744150841499048
40,ledoit_wolf_to_sample_condition_ratio,-0.008881760396361139
40,rmt_to_sample_condition_ratio,0.03126638054235672
40,trailing_realized_volatility,0.05912313496780481
40,__intercept__,0.04793211253313339
41,sample_avg_pairwise_correlation,-0.0075060615250945595
41,sample_condition_number,0.005544587863821734
41,ledoit_wolf_condition_number,-0.005106730578412188
41,rmt_condition_number,-0.017506093710230822
41,ledoit_wolf_to_sample_condition_ratio,-0.008888065615580523
41,rmt_to_sample_condition_ratio,0.030877772542315947
41,trailing_realized_volatility,0.05887026509211293
